Order ID,Order Date,Ship Date,Customer ID,Customer Name,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Sales,Quantity,Discount,Profit,Year,Month,Month Number,Quarter,Profit Margin %
CA-2016-121755,2016-01-16,2016-01-20,EH-13945,Eric Hoffmann,United States,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,90.57,3,0.0,11.7741,2016,January,1,1,13.0
US-2015-150630,2015-09-17,2015-09-21,TB-21520,Tracy Blumstein,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,3083.43,7,0.5,-1665.0522,2015,September,9,3,-54.0
US-2015-150630,2015-09-17,2015-09-21,TB-21520,Tracy Blumstein,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,9.618,2,0.7,-7.0532,2015,September,9,3,-73.33333333333334
US-2015-150630,2015-09-17,2015-09-21,TB-21520,Tracy Blumstein,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,124.2,3,0.2,15.525,2015,September,9,3,12.5
US-2015-150630,2015-09-17,2015-09-21,TB-21520,Tracy Blumstein,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,3.264,2,0.2,1.1016,2015,September,9,3,33.75
US-2015-150630,2015-09-17,2015-09-21,TB-21520,Tracy Blumstein,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,86.304,6,0.2,9.7092,2015,September,9,3,11.249999999999998
US-2015-150630,2015-09-17,2015-09-21,TB-21520,Tracy Blumstein,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,6.858,6,0.7,-5.715,2015,September,9,3,-83.33333333333334
US-2015-150630,2015-09-17,2015-09-21,TB-21520,Tracy Blumstein,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,15.76,2,0.2,3.546,2015,September,9,3,22.499999999999996
CA-2017-107727,2017-10-19,2017-10-23,MA-17560,Matt Abelman,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,29.472,3,0.2,9.9468,2017,October,10,4,33.75
CA-2016-117590,2016-12-08,2016-12-10,GH-14485,Gene Hale,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,1097.544,7,0.2,123.4737,2016,December,12,4,11.249999999999998
CA-2016-117590,2016-12-08,2016-12-10,GH-14485,Gene Hale,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,190.92,5,0.6,-147.963,2016,December,12,4,-77.5
CA-2015-117415,2015-12-27,2015-12-31,SN-20710,Steve Nguyen,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,113.328,9,0.2,35.415,2015,December,12,4,31.25
CA-2015-117415,2015-12-27,2015-12-31,SN-20710,Steve Nguyen,United States,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,532.3992,3,0.32,-46.9764,2015,December,12,4,-8.823529411764707
CA-2015-117415,2015-12-27,2015-12-31,SN-20710,Steve Nguyen,United States,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,212.058,3,0.3,-15.147,2015,December,12,4,-7.142857142857144
CA-2015-117415,2015-12-27,2015-12-31,SN-20710,Steve Nguyen,United States,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,371.168,4,0.2,41.7564,2015,December,12,4,11.25
CA-2017-120999,2017-09-10,2017-09-15,LC-16930,Linda Cazamias,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,147.168,4,0.2,16.5564,2017,September,9,3,11.249999999999998
CA-2016-101343,2016-07-17,2016-07-22,RA-19885,Ruben Ausman,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,77.88,2,0.0,3.894,2016,July,7,3,5.0
CA-2017-139619,2017-09-19,2017-09-23,ES-14080,Erin Smith,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,95.616,2,0.2,9.5616,2017,September,9,3,10.0
CA-2016-118255,2016-03-11,2016-03-13,ON-18715,Odella Nelson,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,45.98,2,0.0,19.7714,2016,March,3,1,43.00000000000001
CA-2016-118255,2016-03-11,2016-03-13,ON-18715,Odella Nelson,United States,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office Supplies,Binders,17.46,2,0.0,8.2062,2016,March,3,1,47.0
CA-2014-146703,2014-10-20,2014-10-25,PO-18865,Patrick O'Donnell,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,Storage,211.96,4,0.0,8.4784,2014,October,10,4,4.0
CA-2016-169194,2016-06-20,2016-06-25,LH-16900,Lena Hernandez,United States,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,45.0,3,0.0,4.95,2016,June,6,2,11.0
CA-2016-169194,2016-06-20,2016-06-25,LH-16900,Lena Hernandez,United States,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,21.8,2,0.0,6.104,2016,June,6,2,27.999999999999996
CA-2015-115742,2015-04-18,2015-04-22,DP-13000,Darren Powers,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,38.22,6,0.0,17.9634,2015,April,4,2,47.0
CA-2015-115742,2015-04-18,2015-04-22,DP-13000,Darren Powers,United States,New Albany,Indiana,47150,Central,OFF-LA-10002762,Office Supplies,Labels,75.18,6,0.0,35.3346,2015,April,4,2,47.0
CA-2015-115742,2015-04-18,2015-04-22,DP-13000,Darren Powers,United States,New Albany,Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,6.16,2,0.0,2.9568,2015,April,4,2,48.0
CA-2015-115742,2015-04-18,2015-04-22,DP-13000,Darren Powers,United States,New Albany,Indiana,47150,Central,FUR-CH-10003061,Furniture,Chairs,89.99,1,0.0,17.0981,2015,April,4,2,19.0
CA-2016-105816,2016-12-11,2016-12-17,JM-15265,Janet Molinari,United States,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,15.26,7,0.0,6.2566,2016,December,12,4,41.0
CA-2016-105816,2016-12-11,2016-12-17,JM-15265,Janet Molinari,United States,New York City,New York,10024,East,TEC-PH-10002447,Technology,Phones,1029.95,5,0.0,298.6855,2016,December,12,4,28.999999999999996
CA-2016-111682,2016-06-17,2016-06-18,TB-21055,Ted Butterfield,United States,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,208.56,6,0.0,52.14,2016,June,6,2,25.0
CA-2016-111682,2016-06-17,2016-06-18,TB-21055,Ted Butterfield,United States,Troy,New York,12180,East,OFF-PA-10001569,Office Supplies,Paper,32.4,5,0.0,15.552,2016,June,6,2,48.0
CA-2016-111682,2016-06-17,2016-06-18,TB-21055,Ted Butterfield,United States,Troy,New York,12180,East,FUR-CH-10003968,Furniture,Chairs,319.41,5,0.1,7.098,2016,June,6,2,2.222222222222222
CA-2016-111682,2016-06-17,2016-06-18,TB-21055,Ted Butterfield,United States,Troy,New York,12180,East,OFF-PA-10000587,Office Supplies,Paper,14.56,2,0.0,6.9888,2016,June,6,2,48.0
CA-2016-111682,2016-06-17,2016-06-18,TB-21055,Ted Butterfield,United States,Troy,New York,12180,East,TEC-AC-10002167,Technology,Accessories,30.0,2,0.0,3.3,2016,June,6,2,11.0
CA-2016-111682,2016-06-17,2016-06-18,TB-21055,Ted Butterfield,United States,Troy,New York,12180,East,OFF-BI-10001460,Office Supplies,Binders,48.48,4,0.2,16.362,2016,June,6,2,33.75
CA-2016-111682,2016-06-17,2016-06-18,TB-21055,Ted Butterfield,United States,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,Art,1.68,1,0.0,0.84,2016,June,6,2,50.0
CA-2015-135545,2015-11-24,2015-11-30,KM-16720,Kunst Miller,United States,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,Accessories,13.98,2,0.0,6.1512,2015,November,11,4,44.0
CA-2015-135545,2015-11-24,2015-11-30,KM-16720,Kunst Miller,United States,Los Angeles,California,90004,West,OFF-BI-10001078,Office Supplies,Binders,25.824,6,0.2,9.3612,2015,November,11,4,36.25
CA-2015-135545,2015-11-24,2015-11-30,KM-16720,Kunst Miller,United States,Los Angeles,California,90004,West,OFF-PA-10003892,Office Supplies,Paper,146.73,3,0.0,68.9631,2015,November,11,4,47.0
CA-2015-135545,2015-11-24,2015-11-30,KM-16720,Kunst Miller,United States,Los Angeles,California,90004,West,FUR-FU-10000397,Furniture,Furnishings,79.76,4,0.0,22.3328,2015,November,11,4,27.999999999999996
US-2015-164175,2015-04-30,2015-05-05,PS-18970,Paul Stevenson,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,213.115,5,0.3,-15.2225,2015,April,4,2,-7.142857142857142
CA-2014-106376,2014-12-05,2014-12-10,BS-11590,Brendan Sweed,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,1113.024,8,0.2,111.3024,2014,December,12,4,10.000000000000002
CA-2014-106376,2014-12-05,2014-12-10,BS-11590,Brendan Sweed,United States,Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Phones,167.968,4,0.2,62.988,2014,December,12,4,37.5
CA-2016-119823,2016-06-04,2016-06-06,KD-16270,Karen Daniels,United States,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,75.88,2,0.0,35.6636,2016,June,6,2,47.00000000000001
CA-2016-106075,2016-09-18,2016-09-23,HM-14980,Henry MacAllister,United States,New York City,New York,10009,East,OFF-BI-10004654,Office Supplies,Binders,4.616,1,0.2,1.731,2016,September,9,3,37.50000000000001
CA-2017-114440,2017-09-14,2017-09-17,TB-21520,Tracy Blumstein,United States,Jackson,Michigan,49201,Central,OFF-PA-10004675,Office Supplies,Paper,19.05,3,0.0,8.763,2017,September,9,3,46.0
US-2015-134026,2015-04-26,2015-05-02,JE-15745,Joel Eaton,United States,Memphis,Tennessee,38109,South,FUR-CH-10000513,Furniture,Chairs,831.936,8,0.2,-114.3912,2015,April,4,2,-13.749999999999998
US-2015-134026,2015-04-26,2015-05-02,JE-15745,Joel Eaton,United States,Memphis,Tennessee,38109,South,FUR-FU-10003708,Furniture,Furnishings,97.04,2,0.2,1.213,2015,April,4,2,1.25
US-2015-134026,2015-04-26,2015-05-02,JE-15745,Joel Eaton,United States,Memphis,Tennessee,38109,South,OFF-ST-10004123,Office Supplies,Storage,72.784,1,0.2,-18.196,2015,April,4,2,-25.0
US-2017-118038,2017-12-09,2017-12-11,KB-16600,Ken Brennan,United States,Houston,Texas,77041,Central,OFF-BI-10004182,Office Supplies,Binders,1.248,3,0.8,-1.9344,2017,December,12,4,-154.99999999999997
US-2017-118038,2017-12-09,2017-12-11,KB-16600,Ken Brennan,United States,Houston,Texas,77041,Central,FUR-FU-10000260,Furniture,Furnishings,9.708,3,0.6,-5.8248,2017,December,12,4,-60.0
US-2017-118038,2017-12-09,2017-12-11,KB-16600,Ken Brennan,United States,Houston,Texas,77041,Central,OFF-ST-10000615,Office Supplies,Storage,27.24,3,0.2,2.724,2017,December,12,4,10.000000000000002
US-2014-147606,2014-11-26,2014-12-01,JE-15745,Joel Eaton,United States,Houston,Texas,77070,Central,FUR-FU-10003194,Furniture,Furnishings,19.3,5,0.6,-14.475,2014,November,11,4,-75.0
CA-2016-127208,2016-06-12,2016-06-15,SC-20770,Stewart Carmichael,United States,Decatur,Alabama,35601,South,OFF-AP-10002118,Office Supplies,Appliances,208.16,1,0.0,56.2032,2016,June,6,2,27.0
CA-2016-127208,2016-06-12,2016-06-15,SC-20770,Stewart Carmichael,United States,Decatur,Alabama,35601,South,OFF-BI-10002309,Office Supplies,Binders,16.74,3,0.0,8.0352,2016,June,6,2,48.00000000000001
CA-2014-139451,2014-10-12,2014-10-16,DN-13690,Duane Noonan,United States,San Francisco,California,94122,West,OFF-AR-10002053,Office Supplies,Art,14.9,5,0.0,4.172,2014,October,10,4,27.999999999999996
CA-2014-139451,2014-10-12,2014-10-16,DN-13690,Duane Noonan,United States,San Francisco,California,94122,West,OFF-ST-10002370,Office Supplies,Storage,21.39,1,0.0,6.2031,2014,October,10,4,28.999999999999996
CA-2015-149734,2015-09-03,2015-09-08,JC-16105,Julie Creighton,United States,Durham,North Carolina,27707,South,OFF-EN-10000927,Office Supplies,Envelopes,200.984,7,0.2,62.8075,2015,September,9,3,31.25
US-2017-119662,2017-11-13,2017-11-16,CS-12400,Christopher Schild,United States,Chicago,Illinois,60623,Central,OFF-ST-10003656,Office Supplies,Storage,230.376,3,0.2,-48.9549,2017,November,11,4,-21.25
CA-2017-140088,2017-05-28,2017-05-30,PO-18865,Patrick O'Donnell,United States,Columbia,South Carolina,29203,South,FUR-CH-10000863,Furniture,Chairs,301.96,2,0.0,33.2156,2017,May,5,2,11.000000000000002
CA-2017-155558,2017-10-26,2017-11-02,PG-18895,Paul Gonzalez,United States,Rochester,Minnesota,55901,Central,TEC-AC-10001998,Technology,Accessories,19.99,1,0.0,6.7966,2017,October,10,4,34.0
CA-2017-155558,2017-10-26,2017-11-02,PG-18895,Paul Gonzalez,United States,Rochester,Minnesota,55901,Central,OFF-LA-10000134,Office Supplies,Labels,6.16,2,0.0,2.9568,2017,October,10,4,48.0
CA-2016-159695,2016-04-05,2016-04-10,GM-14455,Gary Mitchum,United States,Houston,Texas,77095,Central,OFF-ST-10003442,Office Supplies,Storage,158.368,7,0.2,13.8572,2016,April,4,2,8.75
CA-2016-109806,2016-09-17,2016-09-22,JS-15685,Jim Sink,United States,Los Angeles,California,90036,West,OFF-AR-10004930,Office Supplies,Art,20.1,3,0.0,6.633,2016,September,9,3,32.99999999999999
CA-2016-109806,2016-09-17,2016-09-22,JS-15685,Jim Sink,United States,Los Angeles,California,90036,West,TEC-PH-10004093,Technology,Phones,73.584,2,0.2,8.2782,2016,September,9,3,11.249999999999998
CA-2016-109806,2016-09-17,2016-09-22,JS-15685,Jim Sink,United States,Los Angeles,California,90036,West,OFF-PA-10000304,Office Supplies,Paper,6.48,1,0.0,3.1104,2016,September,9,3,47.99999999999999
CA-2015-149587,2015-01-31,2015-02-05,KB-16315,Karl Braun,United States,Minneapolis,Minnesota,55407,Central,OFF-PA-10003177,Office Supplies,Paper,12.96,2,0.0,6.2208,2015,January,1,1,47.99999999999999
CA-2015-149587,2015-01-31,2015-02-05,KB-16315,Karl Braun,United States,Minneapolis,Minnesota,55407,Central,FUR-FU-10003799,Furniture,Furnishings,53.34,3,0.0,16.5354,2015,January,1,1,30.999999999999993
CA-2015-149587,2015-01-31,2015-02-05,KB-16315,Karl Braun,United States,Minneapolis,Minnesota,55407,Central,OFF-BI-10002852,Office Supplies,Binders,32.96,2,0.0,16.1504,2015,January,1,1,49.00000000000001
US-2017-109484,2017-11-06,2017-11-12,RB-19705,Roger Barcio,United States,Portland,Oregon,97206,West,OFF-BI-10004738,Office Supplies,Binders,5.682,1,0.7,-3.788,2017,November,11,4,-66.66666666666666
CA-2017-161018,2017-11-09,2017-11-11,PN-18775,Parhena Norris,United States,New York City,New York,10009,East,FUR-FU-10000629,Furniture,Furnishings,96.53,7,0.0,40.5426,2017,November,11,4,42.0
CA-2017-157833,2017-06-17,2017-06-20,KD-16345,Katherine Ducich,United States,San Francisco,California,94122,West,OFF-BI-10001721,Office Supplies,Binders,51.312,3,0.2,17.9592,2017,June,6,2,35.0
CA-2016-149223,2016-09-06,2016-09-11,ER-13855,Elpida Rittenbach,United States,Saint Paul,Minnesota,55106,Central,OFF-AP-10000358,Office Supplies,Appliances,77.88,6,0.0,22.5852,2016,September,9,3,29.000000000000004
CA-2016-158568,2016-08-29,2016-09-02,RB-19465,Rick Bensley,United States,Chicago,Illinois,60610,Central,OFF-PA-10003256,Office Supplies,Paper,64.624,7,0.2,22.6184,2016,August,8,3,35.0
CA-2016-158568,2016-08-29,2016-09-02,RB-19465,Rick Bensley,United States,Chicago,Illinois,60610,Central,TEC-AC-10001767,Technology,Accessories,95.976,3,0.2,-10.7973,2016,August,8,3,-11.25
CA-2016-158568,2016-08-29,2016-09-02,RB-19465,Rick Bensley,United States,Chicago,Illinois,60610,Central,OFF-BI-10002609,Office Supplies,Binders,1.788,3,0.8,-3.0396,2016,August,8,3,-170.0
CA-2016-129903,2016-12-01,2016-12-04,GZ-14470,Gary Zandusky,United States,Rochester,Minnesota,55901,Central,OFF-PA-10004040,Office Supplies,Paper,23.92,4,0.0,11.7208,2016,December,12,4,49.0
US-2015-156867,2015-11-13,2015-11-17,LC-16870,Lena Cacioppo,United States,Aurora,Colorado,80013,West,TEC-AC-10001552,Technology,Accessories,238.896,6,0.2,-26.8758,2015,November,11,4,-11.250000000000002
US-2015-156867,2015-11-13,2015-11-17,LC-16870,Lena Cacioppo,United States,Aurora,Colorado,80013,West,FUR-FU-10004006,Furniture,Furnishings,102.36,3,0.2,-3.8385,2015,November,11,4,-3.75
US-2015-156867,2015-11-13,2015-11-17,LC-16870,Lena Cacioppo,United States,Aurora,Colorado,80013,West,OFF-BI-10002794,Office Supplies,Binders,36.882,3,0.7,-25.8174,2015,November,11,4,-70.0
CA-2017-119004,2017-11-23,2017-11-28,JM-15250,Janet Martin,United States,Charlotte,North Carolina,28205,South,TEC-AC-10003499,Technology,Accessories,74.112,8,0.2,17.6016,2017,November,11,4,23.750000000000004
CA-2017-119004,2017-11-23,2017-11-28,JM-15250,Janet Martin,United States,Charlotte,North Carolina,28205,South,TEC-PH-10002844,Technology,Phones,27.992,1,0.2,2.0994,2017,November,11,4,7.5
CA-2017-119004,2017-11-23,2017-11-28,JM-15250,Janet Martin,United States,Charlotte,North Carolina,28205,South,OFF-AR-10000390,Office Supplies,Art,3.304,1,0.2,1.0738,2017,November,11,4,32.50000000000001
CA-2015-129476,2015-10-15,2015-10-20,PA-19060,Pete Armstrong,United States,Orland Park,Illinois,60462,Central,TEC-AC-10000844,Technology,Accessories,339.96,5,0.2,67.992,2015,October,10,4,20.000000000000004
CA-2017-146780,2017-12-25,2017-12-30,CV-12805,Cynthia Voltz,United States,New York City,New York,10035,East,FUR-FU-10001934,Furniture,Furnishings,41.96,2,0.0,10.9096,2017,December,12,4,25.999999999999996
CA-2016-128867,2016-11-03,2016-11-10,CL-12565,Clay Ludtke,United States,Urbandale,Iowa,50322,Central,OFF-AR-10000380,Office Supplies,Art,75.96,2,0.0,22.788,2016,November,11,4,30.000000000000004
CA-2016-128867,2016-11-03,2016-11-10,CL-12565,Clay Ludtke,United States,Urbandale,Iowa,50322,Central,OFF-BI-10003981,Office Supplies,Binders,27.24,6,0.0,13.3476,2016,November,11,4,49.00000000000001
CA-2014-115259,2014-08-25,2014-08-27,RC-19960,Ryan Crowe,United States,Columbus,Ohio,43229,East,OFF-FA-10000621,Office Supplies,Fasteners,40.096,14,0.2,14.5348,2014,August,8,3,36.25000000000001
CA-2014-115259,2014-08-25,2014-08-27,RC-19960,Ryan Crowe,United States,Columbus,Ohio,43229,East,OFF-EN-10002600,Office Supplies,Envelopes,4.72,2,0.2,1.652,2014,August,8,3,35.0
CA-2014-115259,2014-08-25,2014-08-27,RC-19960,Ryan Crowe,United States,Columbus,Ohio,43229,East,OFF-PA-10004965,Office Supplies,Paper,23.976,3,0.2,7.4925,2014,August,8,3,31.25
CA-2014-115259,2014-08-25,2014-08-27,RC-19960,Ryan Crowe,United States,Columbus,Ohio,43229,East,OFF-EN-10002504,Office Supplies,Envelopes,130.464,6,0.2,44.0316,2014,August,8,3,33.75
CA-2015-110457,2015-03-02,2015-03-06,DK-13090,Dave Kipp,United States,Seattle,Washington,98103,West,FUR-TA-10001768,Furniture,Tables,787.53,3,0.0,165.3813,2015,March,3,1,21.000000000000004
US-2015-136476,2015-04-05,2015-04-10,GG-14650,Greg Guthrie,United States,Bristol,Tennessee,37620,South,OFF-BI-10003650,Office Supplies,Binders,157.794,1,0.7,-115.7156,2015,April,4,2,-73.33333333333333
CA-2016-103730,2016-06-12,2016-06-15,SC-20725,Steven Cartwright,United States,Wilmington,Delaware,19805,East,FUR-FU-10002157,Furniture,Furnishings,47.04,3,0.0,18.3456,2016,June,6,2,39.0
CA-2016-103730,2016-06-12,2016-06-15,SC-20725,Steven Cartwright,United States,Wilmington,Delaware,19805,East,OFF-BI-10003910,Office Supplies,Binders,30.84,4,0.0,13.878,2016,June,6,2,45.0
CA-2016-103730,2016-06-12,2016-06-15,SC-20725,Steven Cartwright,United States,Wilmington,Delaware,19805,East,OFF-ST-10000777,Office Supplies,Storage,226.56,6,0.0,63.4368,2016,June,6,2,27.999999999999996
CA-2016-103730,2016-06-12,2016-06-15,SC-20725,Steven Cartwright,United States,Wilmington,Delaware,19805,East,OFF-EN-10002500,Office Supplies,Envelopes,115.02,9,0.0,51.759,2016,June,6,2,45.0
CA-2016-103730,2016-06-12,2016-06-15,SC-20725,Steven Cartwright,United States,Wilmington,Delaware,19805,East,TEC-PH-10003875,Technology,Phones,68.04,7,0.0,19.7316,2016,June,6,2,28.999999999999996
US-2014-152030,2014-12-26,2014-12-28,AD-10180,Alan Dominguez,United States,Houston,Texas,77041,Central,FUR-CH-10004063,Furniture,Chairs,600.558,3,0.3,-8.5794,2014,December,12,4,-1.4285714285714286
US-2014-134614,2014-09-20,2014-09-25,PF-19165,Philip Fox,United States,Bloomington,Illinois,61701,Central,FUR-TA-10004534,Furniture,Tables,617.7,6,0.5,-407.682,2014,September,9,3,-66.0
US-2017-107272,2017-11-05,2017-11-12,TS-21610,Troy Staebel,United States,Phoenix,Arizona,85023,West,OFF-BI-10003274,Office Supplies,Binders,2.388,2,0.7,-1.8308,2017,November,11,4,-76.66666666666667
US-2017-107272,2017-11-05,2017-11-12,TS-21610,Troy Staebel,United States,Phoenix,Arizona,85023,West,OFF-ST-10002974,Office Supplies,Storage,243.992,7,0.2,30.499,2017,November,11,4,12.5
